Order,Ticker,Type,Discreet?,YearMonthDayUTC,Address,State,Zip,Zip4,Cars,Notes,UTC,Time_Date,Time,Month,Day,Year,Spaces,Population,Male_Population,Female_Population,Population_Density,5_Year_Projected_Population_Growth,Average_ Family_Size,Family_Households,Households,Age_Below_18,Age_18_Plus,Age_65_Plus,Associate_Degree,Bachelors_Degree,High_Schl_ Grad,PPHouseholds_1,PPHouseholds_2,MT2PPHousehold_2Plus,Per_Capita_Income,Median_Disposable_Household_Income,PCTWhitePop,PCTAIANPop,PCTAPop,PCTBPop,PCTHPIPop,PCTHisPop,PCTMultiracePop,PCTOtherRacePop,PCTMinority,PCTNo_Vehicle,PCT_1_Vehicle,PCT_2_Vehicles,PCTMore_2_Vehicles,PCTCivilian_Unemp,Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Category,PrePost,DOW,Shifted Month,WMT-Q,Week End,Unique Location,Unique Location & Year,Duplicate?,Year Repeat?,Same Store in Two Years?,Region,Sub Region,Create Year
1565,CMG,CMG_1782,,15MAY28190955,17250 Southcenter Parkway Renton,WA,98188,,13,5/28/2015,,5/28/2015 12:09,12:09,5,28,2015,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,5,5,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA5,CMG17250 SOUTHCENTER PARKWAY RENTONWA52015,0,0,0,West,Pacific,2015
1227,CMG,CMG_1731,,14APR01190622,401 NE Northgate Way Seattle,WA,98125,,12,4/1/2014,,4/1/2014 12:06,12:06,4,1,2014,30,36856,0.4903,0.5097,6865.56,0.086000003,2.95,8220,16660,0.1681,0.8319,0.1506,0.0804,0.273,0.1833,0.3887,0.3177,0.2936,31975,44503,0.6813,0.0043,0.1821,0.0579,0.0041,0.0848,0.0461,0.0241,0.3187,0.1046,0.4125,0.3327,0.1502,0.0831,0,0,0,0,5,0,5,Post,3,4,0,0,CMG401 NE NORTHGATE WAY SEATTLEWA4,CMG401 NE NORTHGATE WAY SEATTLEWA42014,0,0,0,West,Pacific,2014
1228,CMG,CMG_1731,,14APR13191318,401 NE Northgate Way Seattle,WA,98125,,22,4/13/2014,,4/13/2014 12:13,12:13,4,13,2014,30,36856,0.4903,0.5097,6865.56,0.086000003,2.95,8220,16660,0.1681,0.8319,0.1506,0.0804,0.273,0.1833,0.3887,0.3177,0.2936,31975,44503,0.6813,0.0043,0.1821,0.0579,0.0041,0.0848,0.0461,0.0241,0.3187,0.1046,0.4125,0.3327,0.1502,0.0831,0,0,0,0,5,0,5,Post,1,4,0,1,CMG401 NE NORTHGATE WAY SEATTLEWA4,CMG401 NE NORTHGATE WAY SEATTLEWA42014,0,0,0,West,Pacific,2014
1229,CMG,CMG_1731,,14APR26191251,401 NE Northgate Way Seattle,WA,98125,,15,4/26/2014,,4/26/2014 12:12,12:12,4,26,2014,30,36856,0.4903,0.5097,6865.56,0.086000003,2.95,8220,16660,0.1681,0.8319,0.1506,0.0804,0.273,0.1833,0.3887,0.3177,0.2936,31975,44503,0.6813,0.0043,0.1821,0.0579,0.0041,0.0848,0.0461,0.0241,0.3187,0.1046,0.4125,0.3327,0.1502,0.0831,0,0,0,0,5,0,5,Post,7,4,0,1,CMG401 NE NORTHGATE WAY SEATTLEWA4,CMG401 NE NORTHGATE WAY SEATTLEWA42014,0,0,0,West,Pacific,2014
1734,CMG,CMG_1731,,15APR04192428,401 NE Northgate Way Seattle,WA,98125,,22,4/4/2015,,4/4/2015 12:24,12:24,4,4,2015,30,36856,0.4903,0.5097,6865.56,0.086000003,2.95,8220,16660,0.1681,0.8319,0.1506,0.0804,0.273,0.1833,0.3887,0.3177,0.2936,31975,44503,0.6813,0.0043,0.1821,0.0579,0.0041,0.0848,0.0461,0.0241,0.3187,0.1046,0.4125,0.3327,0.1502,0.0831,0,0,0,0,5,0,5,Post,7,4,0,1,CMG401 NE NORTHGATE WAY SEATTLEWA4,CMG401 NE NORTHGATE WAY SEATTLEWA42015,0,0,0,West,Pacific,2015
1238,CMG,CMG_1731,,13AUG21192103,401 NE Northgate Way Seattle,WA,98125,,19,8/21/2013,,8/21/2013 12:21,12:21,8,21,2013,30,36856,0.4903,0.5097,6865.56,0.086000003,2.95,8220,16660,0.1681,0.8319,0.1506,0.0804,0.273,0.1833,0.3887,0.3177,0.2936,31975,44503,0.6813,0.0043,0.1821,0.0579,0.0041,0.0848,0.0461,0.0241,0.3187,0.1046,0.4125,0.3327,0.1502,0.0831,0,0,0,0,5,0,5,Post,4,8,0,0,CMG401 NE NORTHGATE WAY SEATTLEWA8,CMG401 NE NORTHGATE WAY SEATTLEWA82013,0,0,0,West,Pacific,2013
1873,CMG,CMG_1731,,13AUG16190944,401 NE Northgate Way Seattle,WA,98125,,15,8/16/2013,,8/16/2013 12:09,12:09,8,16,2013,30,36856,0.4903,0.5097,6865.56,0.086000003,2.95,8220,16660,0.1681,0.8319,0.1506,0.0804,0.273,0.1833,0.3887,0.3177,0.2936,31975,44503,0.6813,0.0043,0.1821,0.0579,0.0041,0.0848,0.0461,0.0241,0.3187,0.1046,0.4125,0.3327,0.1502,0.0831,0,0,0,0,5,0,5,Post,6,8,0,0,CMG401 NE NORTHGATE WAY SEATTLEWA8,CMG401 NE NORTHGATE WAY SEATTLEWA82013,0,0,0,West,Pacific,2014
1874,CMG,CMG_1731,,14AUG02190932,401 NE Northgate Way Seattle,WA,98125,,22,8/2/2014,,8/2/2014 12:09,12:09,8,2,2014,30,36856,0.4903,0.5097,6865.56,0.086000003,2.95,8220,16660,0.1681,0.8319,0.1506,0.0804,0.273,0.1833,0.3887,0.3177,0.2936,31975,44503,0.6813,0.0043,0.1821,0.0579,0.0041,0.0848,0.0461,0.0241,0.3187,0.1046,0.4125,0.3327,0.1502,0.0831,0,0,0,0,5,0,5,Post,7,8,0,1,CMG401 NE NORTHGATE WAY SEATTLEWA8,CMG401 NE NORTHGATE WAY SEATTLEWA82014,0,0,0,West,Pacific,2014
1875,CMG,CMG_1731,,14AUG08191331,401 NE Northgate Way Seattle,WA,98125,,22,8/8/2014,,8/8/2014 12:13,12:13,8,8,2014,30,36856,0.4903,0.5097,6865.56,0.086000003,2.95,8220,16660,0.1681,0.8319,0.1506,0.0804,0.273,0.1833,0.3887,0.3177,0.2936,31975,44503,0.6813,0.0043,0.1821,0.0579,0.0041,0.0848,0.0461,0.0241,0.3187,0.1046,0.4125,0.3327,0.1502,0.0831,0,0,0,0,5,0,5,Post,6,8,0,0,CMG401 NE NORTHGATE WAY SEATTLEWA8,CMG401 NE NORTHGATE WAY SEATTLEWA82014,0,0,0,West,Pacific,2014
1451,CMG,CMG_1731,,14AUG02192105,401 NE Northgate Way Seattle,WA,98125,,23,8/2/2014,,8/2/2014 12:21,12:21,8,2,2014,30,36856,0.4903,0.5097,6865.56,0.086000003,2.95,8220,16660,0.1681,0.8319,0.1506,0.0804,0.273,0.1833,0.3887,0.3177,0.2936,31975,44503,0.6813,0.0043,0.1821,0.0579,0.0041,0.0848,0.0461,0.0241,0.3187,0.1046,0.4125,0.3327,0.1502,0.0831,0,0,0,0,5,0,5,Post,7,8,0,1,CMG401 NE NORTHGATE WAY SEATTLEWA8,CMG401 NE NORTHGATE WAY SEATTLEWA82014,0,0,0,West,Pacific,2015
